scenario,age,sex,education,area,state,region,year,prjpropfinal
1,15,Male,e1,11,Rondônia,North,2010,2.4645334409298174
1,15,Male,e1,11,Rondônia,North,2015,1.9884684386466402
1,15,Male,e1,11,Rondônia,North,2020,1.0581532667865898
1,15,Male,e1,11,Rondônia,North,2025,0.17044504217929854
1,15,Male,e1,11,Rondônia,North,2030,0
1,15,Male,e1,11,Rondônia,North,2035,0
1,15,Male,e1,11,Rondônia,North,2040,0
1,15,Male,e1,11,Rondônia,North,2045,0
1,15,Male,e1,11,Rondônia,North,2050,0
1,15,Male,e1,11,Rondônia,North,2055,0
1,15,Male,e1,11,Rondônia,North,2060,0
1,15,Male,e1,12,Acre,North,2010,6.16566967704924
1,15,Male,e1,12,Acre,North,2015,4.946789848885281
1,15,Male,e1,12,Acre,North,2020,2.671743713055794
1,15,Male,e1,12,Acre,North,2025,0.4333300883332356
1,15,Male,e1,12,Acre,North,2030,0
1,15,Male,e1,12,Acre,North,2035,0
1,15,Male,e1,12,Acre,North,2040,0
1,15,Male,e1,12,Acre,North,2045,0
1,15,Male,e1,12,Acre,North,2050,0
1,15,Male,e1,12,Acre,North,2055,0
1,15,Male,e1,12,Acre,North,2060,0
1,15,Male,e1,13,Amazonas,North,2010,5.160234537234463
1,15,Male,e1,13,Amazonas,North,2015,4.266832246302449
1,15,Male,e1,13,Amazonas,North,2020,2.4261269490130055
1,15,Male,e1,13,Amazonas,North,2025,0.4136102081431862
1,15,Male,e1,13,Amazonas,North,2030,0
1,15,Male,e1,13,Amazonas,North,2035,0
1,15,Male,e1,13,Amazonas,North,2040,0
1,15,Male,e1,13,Amazonas,North,2045,0
1,15,Male,e1,13,Amazonas,North,2050,0
1,15,Male,e1,13,Amazonas,North,2055,0
1,15,Male,e1,13,Amazonas,North,2060,0
1,15,Male,e1,14,Roraima,North,2010,5.2365524294717
1,15,Male,e1,14,Roraima,North,2015,4.1450564327270705
1,15,Male,e1,14,Roraima,North,2020,2.1337267424425908
1,15,Male,e1,14,Roraima,North,2025,0.3343817390475338
1,15,Male,e1,14,Roraima,North,2030,0
1,15,Male,e1,14,Roraima,North,2035,0
1,15,Male,e1,14,Roraima,North,2040,0
1,15,Male,e1,14,Roraima,North,2045,0
1,15,Male,e1,14,Roraima,North,2050,0
1,15,Male,e1,14,Roraima,North,2055,0
1,15,Male,e1,14,Roraima,North,2060,0
1,15,Male,e1,15,Pará,North,2010,3.2904018119304235
1,15,Male,e1,15,Pará,North,2015,2.7620107955685245
1,15,Male,e1,15,Pará,North,2020,1.6424507663785064
1,15,Male,e1,15,Pará,North,2025,0.29162999451910304
1,15,Male,e1,15,Pará,North,2030,0
1,15,Male,e1,15,Pará,North,2035,0
1,15,Male,e1,15,Pará,North,2040,0
1,15,Male,e1,15,Pará,North,2045,0
1,15,Male,e1,15,Pará,North,2050,0
1,15,Male,e1,15,Pará,North,2055,0
1,15,Male,e1,15,Pará,North,2060,0
1,15,Male,e1,16,Amapá,North,2010,2.0129601006211097
1,15,Male,e1,16,Amapá,North,2015,1.5874513626793063
1,15,Male,e1,16,Amapá,North,2020,0.8144297644895679
1,15,Male,e1,16,Amapá,North,2025,0.12702794012146246
1,15,Male,e1,16,Amapá,North,2030,0
1,15,Male,e1,16,Amapá,North,2035,0
1,15,Male,e1,16,Amapá,North,2040,0
1,15,Male,e1,16,Amapá,North,2045,0
1,15,Male,e1,16,Amapá,North,2050,0
1,15,Male,e1,16,Amapá,North,2055,0
1,15,Male,e1,16,Amapá,North,2060,0
1,15,Male,e1,17,Tocantins,North,2010,2.1542936169512923
1,15,Male,e1,17,Tocantins,North,2015,1.709355479032459
1,15,Male,e1,17,Tocantins,North,2020,0.8811708843392777
1,15,Male,e1,17,Tocantins,North,2025,0.13821090236361055
1,15,Male,e1,17,Tocantins,North,2030,0
1,15,Male,e1,17,Tocantins,North,2035,0
1,15,Male,e1,17,Tocantins,North,2040,0
1,15,Male,e1,17,Tocantins,North,2045,0
1,15,Male,e1,17,Tocantins,North,2050,0
1,15,Male,e1,17,Tocantins,North,2055,0
1,15,Male,e1,17,Tocantins,North,2060,0
1,15,Male,e1,21,Maranhão,Northeast,2010,3.589136015930267
1,15,Male,e1,21,Maranhão,Northeast,2015,2.953559264533481
1,15,Male,e1,21,Maranhão,Northeast,2020,1.6578283994511143
1,15,Male,e1,21,Maranhão,Northeast,2025,0.27919087840607154
1,15,Male,e1,21,Maranhão,Northeast,2030,0
1,15,Male,e1,21,Maranhão,Northeast,2035,0
1,15,Male,e1,21,Maranhão,Northeast,2040,0
1,15,Male,e1,21,Maranhão,Northeast,2045,0
1,15,Male,e1,21,Maranhão,Northeast,2050,0
1,15,Male,e1,21,Maranhão,Northeast,2055,0
1,15,Male,e1,21,Maranhão,Northeast,2060,0
1,15,Male,e1,22,Piauí,Northeast,2010,2.711700451020869
1,15,Male,e1,22,Piauí,Northeast,2015,2.2412723490544026
1,15,Male,e1,22,Piauí,Northeast,2020,1.2742224846741006
1,15,Male,e1,22,Piauí,Northeast,2025,0.2169162962238459
1,15,Male,e1,22,Piauí,Northeast,2030,0
1,15,Male,e1,22,Piauí,Northeast,2035,0
1,15,Male,e1,22,Piauí,Northeast,2040,0
1,15,Male,e1,22,Piauí,Northeast,2045,0
1,15,Male,e1,22,Piauí,Northeast,2050,0
1,15,Male,e1,22,Piauí,Northeast,2055,0
1,15,Male,e1,22,Piauí,Northeast,2060,0
1,15,Male,e1,23,Ceará,Northeast,2010,2.49160610972925
