region,Time,sex,edu,agest,prjpropfinal
11,2010,f,e1,15,1.936950068767404
12,2010,f,e1,15,4.248452455803199
13,2010,f,e1,15,4.225767695687171
14,2010,f,e1,15,4.9226699496379265
15,2010,f,e1,15,2.549751151310582
16,2010,f,e1,15,2.010672996762692
17,2010,f,e1,15,1.7383067228944016
21,2010,f,e1,15,2.4234407985830586
22,2010,f,e1,15,1.5107241843003758
23,2010,f,e1,15,1.5432661212002925
24,2010,f,e1,15,1.347348701952574
25,2010,f,e1,15,1.3443586803971377
26,2010,f,e1,15,1.8920116010783488
27,2010,f,e1,15,2.085905566383452
28,2010,f,e1,15,1.529235595080388
29,2010,f,e1,15,1.872938231756788
31,2010,f,e1,15,1.2830087985682834
32,2010,f,e1,15,1.1578887342609918
33,2010,f,e1,15,1.4193267479018357
35,2010,f,e1,15,1.5894851712704023
41,2010,f,e1,15,1.222465722250859
42,2010,f,e1,15,1.0437490089099335
43,2010,f,e1,15,1.1653947986493474
50,2010,f,e1,15,1.345784797346288
51,2010,f,e1,15,2.08479597090515
52,2010,f,e1,15,1.4625104090282912
53,2010,f,e1,15,1.2079720302723385
11,2015,f,e1,15,1.490078668601908
12,2015,f,e1,15,3.285896355999874
13,2015,f,e1,15,3.3757814615656465
14,2015,f,e1,15,3.770856757250761
15,2015,f,e1,15,2.0394909132929175
16,2015,f,e1,15,1.548394814607904
17,2015,f,e1,15,1.313434416857313
21,2015,f,e1,15,1.8854940364015575
22,2015,f,e1,15,1.182053634787438
23,2015,f,e1,15,1.1718831376458705
24,2015,f,e1,15,1.0447236728607423
25,2015,f,e1,15,1.0536915190706342
26,2015,f,e1,15,1.4748365901743006
27,2015,f,e1,15,1.6720100090308665
28,2015,f,e1,15,1.2136641135422672
29,2015,f,e1,15,1.4725721887824017
31,2015,f,e1,15,0.9611465755477692
32,2015,f,e1,15,0.8682789080545474
33,2015,f,e1,15,1.0798358329321678
35,2015,f,e1,15,1.1673545681711992
41,2015,f,e1,15,0.9064917621512514
42,2015,f,e1,15,0.7646543935498892
43,2015,f,e1,15,0.8737204680290975
50,2015,f,e1,15,1.0306556486791814
51,2015,f,e1,15,1.5598437953673356
52,2015,f,e1,15,1.0890627994482265
53,2015,f,e1,15,0.8915142364024332
11,2020,f,e1,15,1.030339345925166
12,2020,f,e1,15,2.2805140652936884
13,2020,f,e1,15,2.4262013804753413
14,2020,f,e1,15,2.597141901663022
15,2020,f,e1,15,1.4672451003136626
16,2020,f,e1,15,1.071528844857065
17,2020,f,e1,15,0.8926555397898187
21,2020,f,e1,15,1.318943314782435
22,2020,f,e1,15,0.8319896568562135
23,2020,f,e1,15,0.8003722069512962
