region,Time,sex,edu,agest,asfr
11,2010,f,e1,15,177.1478863086742
12,2010,f,e1,15,226.49069864342232
13,2010,f,e1,15,127.31712296440168
14,2010,f,e1,15,218.96094272230894
15,2010,f,e1,15,173.54879845484817
16,2010,f,e1,15,143.45284193137155
17,2010,f,e1,15,193.37951724967323
21,2010,f,e1,15,172.41328560906274
22,2010,f,e1,15,137.71902484555378
23,2010,f,e1,15,116.50125664701126
24,2010,f,e1,15,83.89118671804253
25,2010,f,e1,15,116.87096309176013
26,2010,f,e1,15,130.43245658262165
27,2010,f,e1,15,172.92192333941438
28,2010,f,e1,15,150.66232712875862
29,2010,f,e1,15,119.6701674481684
31,2010,f,e1,15,64.79342003408502
32,2010,f,e1,15,88.60488721550273
33,2010,f,e1,15,99.99387445582722
35,2010,f,e1,15,87.32910227637925
41,2010,f,e1,15,88.21086133590539
42,2010,f,e1,15,69.80013636371739
43,2010,f,e1,15,86.48253072357178
50,2010,f,e1,15,135.85335980235467
51,2010,f,e1,15,115.30773501173456
52,2010,f,e1,15,116.055727124583
53,2010,f,e1,15,103.57924179689535
11,2015,f,e1,15,185.24607539707074
12,2015,f,e1,15,213.278741222556
13,2015,f,e1,15,125.62707265956452
14,2015,f,e1,15,218.96094272230894
15,2015,f,e1,15,168.18130984284252
16,2015,f,e1,15,134.01515496220236
17,2015,f,e1,15,190.32615645099415
21,2015,f,e1,15,166.09447409459452
22,2015,f,e1,15,138.52439925985527
23,2015,f,e1,15,115.8036443317597
24,2015,f,e1,15,84.40271834437208
25,2015,f,e1,15,116.87096309176013
26,2015,f,e1,15,137.33770428405455
27,2015,f,e1,15,162.69535798063177
28,2015,f,e1,15,148.94047196157283
29,2015,f,e1,15,117.48107901923848
31,2015,f,e1,15,67.79708851248631
32,2015,f,e1,15,95.58587832945143
33,2015,f,e1,15,110.05615113062746
35,2015,f,e1,15,92.06381264076124
41,2015,f,e1,15,92.90848117036188
42,2015,f,e1,15,76.95912470871404
43,2015,f,e1,15,96.0293035956544
50,2015,f,e1,15,135.85335980235467
51,2015,f,e1,15,115.30773501173456
52,2015,f,e1,15,129.2772656577633
53,2015,f,e1,15,104.78365158523134
11,2020,f,e1,15,170.0619708563272
12,2020,f,e1,15,178.3614251816951
13,2020,f,e1,15,113.79672052570416
14,2020,f,e1,15,218.96094272230894
15,2020,f,e1,15,152.97342544215996
16,2020,f,e1,15,115.13978102386405
17,2020,f,e1,15,177.09492632338495
21,2020,f,e1,15,150.7487889880287
22,2020,f,e1,15,130.47065511684045
23,2020,f,e1,15,107.43229654874094
24,2020,f,e1,15,75.70668069677008
25,2020,f,e1,15,113.51260208337624
26,2020,f,e1,15,123.52720888118876
27,2020,f,e1,15,151.53910486195988
28,2020,f,e1,15,135.16563062408633
29,2020,f,e1,15,110.91381373244876
31,2020,f,e1,15,63.5061335433416
32,2020,f,e1,15,90.21588516487553
33,2020,f,e1,15,95.59162841060213
35,2020,f,e1,15,81.54223405324568
41,2020,f,e1,15,85.60107253898511
42,2020,f,e1,15,77.40656148027634
43,2020,f,e1,15,87.04410559840018
50,2020,f,e1,15,135.85335980235467
51,2020,f,e1,15,115.30773501173456
52,2020,f,e1,15,117.52478696160304
53,2020,f,e1,15,89.12632433686345
11,2025,f,e1,15,170.0619708563272
12,2025,f,e1,15,178.3614251816951
13,2025,f,e1,15,113.79672052570416
14,2025,f,e1,15,218.96094272230894
15,2025,f,e1,15,152.97342544215996
16,2025,f,e1,15,115.13978102386405
17,2025,f,e1,15,177.09492632338495
21,2025,f,e1,15,150.7487889880287
22,2025,f,e1,15,130.47065511684045
23,2025,f,e1,15,107.43229654874094
24,2025,f,e1,15,75.70668069677008
25,2025,f,e1,15,113.51260208337624
26,2025,f,e1,15,123.52720888118876
27,2025,f,e1,15,151.53910486195988
28,2025,f,e1,15,135.16563062408633
29,2025,f,e1,15,110.91381373244876
31,2025,f,e1,15,63.5061335433416
32,2025,f,e1,15,90.21588516487553
33,2025,f,e1,15,95.59162841060213
35,2025,f,e1,15,81.54223405324568
41,2025,f,e1,15,85.60107253898511
42,2025,f,e1,15,77.40656148027634
43,2025,f,e1,15,87.04410559840018
50,2025,f,e1,15,135.85335980235467
51,2025,f,e1,15,115.30773501173456
52,2025,f,e1,15,117.52478696160304
53,2025,f,e1,15,89.12632433686345
11,2030,f,e1,15,170.0619708563272
12,2030,f,e1,15,178.3614251816951
13,2030,f,e1,15,113.79672052570416
14,2030,f,e1,15,218.96094272230894
15,2030,f,e1,15,152.97342544215996
16,2030,f,e1,15,115.13978102386405
17,2030,f,e1,15,177.09492632338495
21,2030,f,e1,15,150.7487889880287
22,2030,f,e1,15,130.47065511684045
23,2030,f,e1,15,107.43229654874094
24,2030,f,e1,15,75.70668069677008
25,2030,f,e1,15,113.51260208337624
26,2030,f,e1,15,123.52720888118876
27,2030,f,e1,15,151.53910486195988
28,2030,f,e1,15,135.16563062408633
29,2030,f,e1,15,110.91381373244876
31,2030,f,e1,15,63.5061335433416
32,2030,f,e1,15,90.21588516487553
33,2030,f,e1,15,95.59162841060213
35,2030,f,e1,15,81.54223405324568
41,2030,f,e1,15,85.60107253898511
42,2030,f,e1,15,77.40656148027634
43,2030,f,e1,15,87.04410559840018
50,2030,f,e1,15,135.85335980235467
51,2030,f,e1,15,115.30773501173456
52,2030,f,e1,15,117.52478696160304
53,2030,f,e1,15,89.12632433686345
11,2035,f,e1,15,170.0619708563272
12,2035,f,e1,15,178.3614251816951
13,2035,f,e1,15,113.79672052570416
14,2035,f,e1,15,218.96094272230894
15,2035,f,e1,15,152.97342544215996
16,2035,f,e1,15,115.13978102386405
17,2035,f,e1,15,177.09492632338495
21,2035,f,e1,15,150.7487889880287
22,2035,f,e1,15,130.47065511684045
23,2035,f,e1,15,107.43229654874094
24,2035,f,e1,15,75.70668069677008
25,2035,f,e1,15,113.51260208337624
26,2035,f,e1,15,123.52720888118876
27,2035,f,e1,15,151.53910486195988
