age_group,year,area,npx,sex
0,2010,Acre,0.9758337916587527,male
1,2010,Acre,0.9968027067079419,male
5,2010,Acre,0.9985488747429176,male
10,2010,Acre,0.9972487278961113,male
15,2010,Acre,0.9889965286843972,male
20,2010,Acre,0.9859573454321877,male
25,2010,Acre,0.9853583815978194,male
30,2010,Acre,0.981163933272723,male
35,2010,Acre,0.978488581874459,male
40,2010,Acre,0.9711618537847593,male
45,2010,Acre,0.9610181376376322,male
50,2010,Acre,0.95227095252352,male
55,2010,Acre,0.9274288257474518,male
60,2010,Acre,0.9040133687185886,male
65,2010,Acre,0.8790925991066539,male
70,2010,Acre,0.8085959452728859,male
75,2010,Acre,0.7049813641757753,male
80,2010,Acre,0.6281929168419144,male
85,2010,Acre,0.4623198047977981,male
90,2010,Acre,0,male
0,2011,Acre,0.9770071100564658,male
1,2011,Acre,0.9969030417468266,male
5,2011,Acre,0.9985915072781522,male
10,2011,Acre,0.9973349535934064,male
15,2011,Acre,0.989329441472977,male
20,2011,Acre,0.986362206386175,male
25,2011,Acre,0.9857952884157863,male
30,2011,Acre,0.981739109526078,male
35,2011,Acre,0.9791268598737752,male
40,2011,Acre,0.9719853951112891,male
45,2011,Acre,0.9620553131069534,male
50,2011,Acre,0.9534271618639888,male
55,2011,Acre,0.9290915062128106,male
60,2011,Acre,0.9059278847782672,male
65,2011,Acre,0.8811688100723141,male
70,2011,Acre,0.8117123546462819,male
75,2011,Acre,0.7096079792641086,male
80,2011,Acre,0.6326988729671148,male
85,2011,Acre,0.4683803394730811,male
90,2011,Acre,0,male
0,2012,Acre,0.9780838938356751,male
1,2012,Acre,0.9969984755821389,male
5,2012,Acre,0.9986320536198637,male
10,2012,Acre,0.9974169633905182,male
15,2012,Acre,0.9896461536355541,male
20,2012,Acre,0.9867473928982035,male
25,2012,Acre,0.9862109766455793,male
30,2012,Acre,0.9822864270876408,male
35,2012,Acre,0.9797342611044637,male
40,2012,Acre,0.9727692430878501,male
45,2012,Acre,0.9630427124112866,male
50,2012,Acre,0.9545280183946153,male
55,2012,Acre,0.9306754222432094,male
60,2012,Acre,0.9077522148982592,male
65,2012,Acre,0.8831476018705635,male
70,2012,Acre,0.8146861214463014,male
75,2012,Acre,0.7140313662944636,male
80,2012,Acre,0.6370073538434596,male
85,2012,Acre,0.4741908558989548,male
90,2012,Acre,0,male
0,2013,Acre,0.9790699324470785,male
1,2013,Acre,0.9970891416428401,male
5,2013,Acre,0.9986705710337601,male
10,2013,Acre,0.9974948725954554,male
15,2013,Acre,0.989947099116939,male
20,2013,Acre,0.9871134286867805,male
25,2013,Acre,0.9866060095397614,male
30,2013,Acre,0.9828066165216289,male
35,2013,Acre,0.9803115907090532,male
40,2013,Acre,0.9735144154080959,male
45,2013,Acre,0.9639815862676443,male
50,2013,Acre,0.9555748967451261,male
55,2013,Acre,0.9321824307997342,male
60,2013,Acre,0.9094884249190497,male
65,2013,Acre,0.885031160442814,male
70,2013,Acre,0.8175200254270337,male
75,2013,Acre,0.7182544934351089,male
80,2013,Acre,0.6411211900273732,male
85,2013,Acre,0.47975314693205984,male
90,2013,Acre,0,male
0,2014,Acre,0.9799710552076065,male
1,2014,Acre,0.9971751814838555,male
5,2014,Acre,0.9987071201810234,male
10,2014,Acre,0.997568803428953,male
15,2014,Acre,0.9902327395372277,male
20,2014,Acre,0.987460871475617,male
25,2014,Acre,0.9869809872143587,male
30,2014,Acre,0.9833004578685642,male
35,2014,Acre,0.9808597092141337,male
40,2014,Acre,0.9742220030365556,male
45,2014,Acre,0.9648732803010769,male
50,2014,Acre,0.9565692789996852,male
55,2014,Acre,0.9336145533174348,male
60,2014,Acre,0.9111387759669155,male
65,2014,Acre,0.8868218878927522,male
70,2014,Acre,0.8202172098742322,male
75,2014,Acre,0.7222809517443528,male
80,2014,Acre,0.6450438227975777,male
85,2014,Acre,0.4850699518223245,male
90,2014,Acre,0,male
0,2015,Acre,0.9807930470145647,male
1,2015,Acre,0.9972567434121798,male
5,2015,Acre,0.9987417645376356,male
10,2015,Acre,0.997638883848689,male
15,2015,Acre,0.990503559623962,male
20,2015,Acre,0.9877903074291009,male
25,2015,Acre,0.9873365406394237,male
30,2015,Acre,0.9837687727093738,male
35,2015,Acre,0.9813795237117652,male
40,2015,Acre,0.9748931587869223,male
45,2015,Acre,0.9657192206017761,male
50,2015,Acre,0.9575127385623795,male
55,2015,Acre,0.9349739523289631,male
60,2015,Acre,0.9127056974567532,male
65,2015,Acre,0.8885223731598623,male
70,2015,Acre,0.8227811374301519,male
75,2015,Acre,0.7261148907518234,male
80,2015,Acre,0.6487792415279878,male
85,2015,Acre,0.49014487798160844,male
90,2015,Acre,0,male
0,2016,Acre,0.9815415784603881,male
1,2016,Acre,0.9973339811238121,male
5,2016,Acre,0.9987745698185384,male
10,2016,Acre,0.9977052463829134,male
15,2016,Acre,0.9907600626725049,male
20,2016,Acre,0.9881023456191164,male
25,2016,Acre,0.9876733256619946,male
30,2016,Acre,0.9842124162638856,male
35,2016,Acre,0.9818719790747917,male
40,2016,Acre,0.9755290859276293,male
45,2016,Acre,0.9665208992917711,male
50,2016,Acre,0.9584069240173483,male
55,2016,Acre,0.9362629079785697,male
60,2016,Acre,0.9141917599041668,male
65,2016,Acre,0.8901353624364047,male
70,2016,Acre,0.8252155450427223,male
75,2016,Acre,0.7297609514544523,male
80,2016,Acre,0.6523319184713416,male
85,2016,Acre,0.49498231670909076,male
90,2016,Acre,0,male
0,2017,Acre,0.9822221497098468,male
1,2017,Acre,0.997407052375409,male
5,2017,Acre,0.9988056034166879,male
10,2017,Acre,0.9977680269939095,male
15,2017,Acre,0.9910027661149535,male
20,2017,Acre,0.9883976126214247,male
25,2017,Acre,0.9879920171676958,male
30,2017,Acre,0.9846322696650386,male
35,2017,Acre,0.9823380493636268,male
40,2017,Acre,0.9761310270208264,male
45,2017,Acre,0.9672798603649311,male
50,2017,Acre,0.959253543280165,male
55,2017,Acre,0.9374837948690218,male
60,2017,Acre,0.9155996480660806,male
65,2017,Acre,0.8916637298982247,male
70,2017,Acre,0.8275243989613267,male
75,2017,Acre,0.7332241982410046,male
80,2017,Acre,0.6557067424350285,male
85,2017,Acre,0.49958735507607654,male
90,2017,Acre,0,male
0,2018,Acre,0.9828400470992715,male
1,2018,Acre,0.9974761177123326,male
5,2018,Acre,0.9988349338661403,male
10,2018,Acre,0.9978273639898294,male
15,2018,Acre,0.9912321972706661,male
20,2018,Acre,0.9886767473310087,male
25,2018,Acre,0.9882933034777138,male
30,2018,Acre,0.9850292325376205,male
35,2018,Acre,0.9827787295681982,male
40,2018,Acre,0.9767002531830002,male
45,2018,Acre,0.967997686041548,male
50,2018,Acre,0.9600543483120991,male
55,2018,Acre,0.938639059648491,male
60,2018,Acre,0.9169321348885874,male
65,2018,Acre,0.8931104492760746,male
70,2018,Acre,0.8297118506395831,male
75,2018,Acre,0.7365100511818423,male
80,2018,Acre,0.6589089527564183,male
85,2018,Acre,0.5039656861170203,male
90,2018,Acre,0,male
0,2019,Acre,0.9834003111660795,male
1,2019,Acre,0.9975413392713317,male
5,2019,Acre,0.9988626303368511,male
10,2019,Acre,0.9978833970005071,male
15,2019,Acre,0.9914488893400956,male
20,2019,Acre,0.9889403960719223,male
25,2019,Acre,0.9885778810629158,male
30,2019,Acre,0.9854042159905968,male
35,2019,Acre,0.9831950278068147,male
40,2019,Acre,0.9772380539271208,male
45,2019,Acre,0.9686759838429635,male
50,2019,Acre,0.9608111206289333,male
55,2019,Acre,0.9397311996867875,male
60,2019,Acre,0.9181920566742647,male
65,2019,Acre,0.8944785667220202,male
70,2019,Acre,0.8317821942980489,male
75,2019,Acre,0.7396242199680299,male
80,2019,Acre,0.6619440748369606,male
85,2019,Acre,0.5081235193028959,male
90,2019,Acre,0,male
0,2020,Acre,0.9839077146903139,male
1,2020,Acre,0.9976028796720385,male
5,2020,Acre,0.9988887621671559,male
10,2020,Acre,0.9979362660293868,male
15,2020,Acre,0.9916533776901242,male
20,2020,Acre,0.9891892080607415,male
25,2020,Acre,0.9888464496391214,male
30,2020,Acre,0.9857581361086383,male
35,2020,Acre,0.9835879580776342,male
40,2020,Acre,0.9777457277123887,male
45,2020,Acre,0.9693163745489061,male
50,2020,Acre,0.9615256577881531,male
55,2020,Acre,0.9407627431207418,male
60,2020,Acre,0.9193822898006726,male
65,2020,Acre,0.8957711753379025,male
70,2020,Acre,0.8337398267663461,male
75,2020,Acre,0.7425726405855658,male
80,2020,Acre,0.66481785830131,male
