sex,age,education,area,pop
Female,0--4,NA,11,62657.24025724042
Female,0--4,NA,12,37957.84079234364
Female,0--4,NA,13,183200.00930474213
Female,0--4,NA,14,23466.471248390695
Female,0--4,NA,15,361647.39687237394
Female,0--4,NA,16,34598.43417388615
Female,0--4,NA,17,60715.76534267502
Female,0--4,NA,21,313616.94533247454
Female,0--4,NA,22,122169.10813405835
Female,0--4,NA,23,315455.03098325117
Female,0--4,NA,24,115501.97669883394
Female,0--4,NA,25,143035.99559639013
Female,0--4,NA,26,332602.1882984402
Female,0--4,NA,27,134143.83644782862
Female,0--4,NA,28,82647.04560503703
Female,0--4,NA,29,522234.1251544569
Female,0--4,NA,31,626068.2693127511
Female,0--4,NA,32,120505.84373125486
Female,0--4,NA,33,488145.32737749786
Female,0--4,NA,35,1315139.110866927
Female,0--4,NA,41,349936.1690231088
Female,0--4,NA,42,199203.15490489098
Female,0--4,NA,43,315424.77527341445
Female,0--4,NA,50,93979.59355074444
Female,0--4,NA,51,119059.55813508545
Female,0--4,NA,52,215463.04182400779
Female,0--4,NA,53,92458.0078446226
Female,5--9,No Education,11,30014.067881566298
Female,5--9,No Education,12,16745.366548268976
Female,5--9,No Education,13,78736.25041892339
Female,5--9,No Education,14,11033.271178786848
Female,5--9,No Education,15,149628.64852863832
Female,5--9,No Education,16,12188.614855178437
Female,5--9,No Education,17,24058.981955174895
Female,5--9,No Education,21,122260.39320387313
Female,5--9,No Education,22,45526.37172486472
Female,5--9,No Education,23,100847.90757845626
Female,5--9,No Education,24,41426.19119009236
Female,5--9,No Education,25,52490.36465933101
Female,5--9,No Education,26,139901.90611964953
Female,5--9,No Education,27,52055.42570390854
Female,5--9,No Education,28,31965.330741630343
Female,5--9,No Education,29,252526.6129909436
Female,5--9,No Education,31,296309.8049973807
Female,5--9,No Education,32,52774.67445249704
Female,5--9,No Education,33,223826.37744293115
Female,5--9,No Education,35,525884.3518656705
Female,5--9,No Education,41,130755.5192085767
Female,5--9,No Education,42,84153.08248312406
Female,5--9,No Education,43,126195.2016417191
Female,5--9,No Education,50,29997.189180431073
Female,5--9,No Education,51,59968.478343983166
Female,5--9,No Education,52,98084.63643695773
Female,5--9,No Education,53,40046.97398321585
Female,5--9,Incomplete Primary,11,37477.93476644275
