area,year,age_interval,edu,sex,n
11,1991,0-4,NA,0,75894.3417817
11,1991,0-4,NA,1,79270.59303181
11,1991,05-09,e1,0,37716.96799458
11,1991,05-09,e1,1,40441.02326928
11,1991,05-09,e2,0,37720.70134409
11,1991,05-09,e2,1,38486.62249919
11,1991,05-09,e3,0,114.97943072
11,1991,05-09,e3,1,89.37451462
11,1991,10-14,e1,0,4283.59914659
11,1991,10-14,e1,1,6303.85565126
11,1991,10-14,e2,0,42740.09059378
11,1991,10-14,e2,1,46346.35762063
11,1991,10-14,e3,0,25788.48314624
11,1991,10-14,e3,1,22454.02899934
11,1991,10-14,e4,0,256.45637936
11,1991,10-14,e4,1,163.40525228
11,1991,15-19,e1,0,3942.4314923
11,1991,15-19,e1,1,5203.84063848
11,1991,15-19,e2,0,13288.08475474
11,1991,15-19,e2,1,14553.93919486
11,1991,15-19,e3,0,36192.52677916
11,1991,15-19,e3,1,36098.81469292
11,1991,15-19,e4,0,8824.20788772
11,1991,15-19,e4,1,6348.72218291
11,1991,15-19,e5,0,1625.77021756
11,1991,15-19,e5,1,984.16421027
11,1991,20-24,e1,0,5233.3007596200005
11,1991,20-24,e1,1,5618.55017243
11,1991,20-24,e2,0,9217.60036672
11,1991,20-24,e2,1,10947.7395443
11,1991,20-24,e3,0,25145.86495613
11,1991,20-24,e3,1,26518.90027179
11,1991,20-24,e4,0,8786.27869325
11,1991,20-24,e4,1,8215.4913354
11,1991,20-24,e5,0,5837.5953375
11,1991,20-24,e5,1,5194.99317992
11,1991,20-24,e6,0,341.71927641
11,1991,20-24,e6,1,205.50395982
11,1991,25-29,e1,0,6644.13139419
11,1991,25-29,e1,1,7120.38826545
11,1991,25-29,e2,0,10804.37445694
11,1991,25-29,e2,1,11094.98213328
11,1991,25-29,e3,0,16605.2854771
11,1991,25-29,e3,1,19605.36308771
11,1991,25-29,e4,0,6818.60931134
11,1991,25-29,e4,1,7288.28683882
11,1991,25-29,e5,0,6800.66281304
11,1991,25-29,e5,1,6468.77398407
11,1991,25-29,e6,0,1025.28994901
11,1991,25-29,e6,1,798.76795118
11,1991,30-34,e1,0,6841.12469733
11,1991,30-34,e1,1,6729.72540369
11,1991,30-34,e2,0,8783.54576155
11,1991,30-34,e2,1,8882.68996923
11,1991,30-34,e3,0,12815.37836702
11,1991,30-34,e3,1,15464.61851127
11,1991,30-34,e4,0,4620.43136672
11,1991,30-34,e4,1,5029.36256876
11,1991,30-34,e5,0,5444.75481075
11,1991,30-34,e5,1,5636.25993865
11,1991,30-34,e6,0,1670.20964273
11,1991,30-34,e6,1,1506.76225406
11,1991,35-39,e1,0,8289.98603218
11,1991,35-39,e1,1,6981.06543851
11,1991,35-39,e2,0,7525.1007536
11,1991,35-39,e2,1,8020.73651936
11,1991,35-39,e3,0,8743.45676909
11,1991,35-39,e3,1,11845.8801226
11,1991,35-39,e4,0,2635.63363192
11,1991,35-39,e4,1,3208.65808821
11,1991,35-39,e5,0,3701.1288374
11,1991,35-39,e5,1,3273.59145447
11,1991,35-39,e6,0,1190.76248132
11,1991,35-39,e6,1,1431.22899793
11,1991,40-44,e1,0,8044.51814325
11,1991,40-44,e1,1,7357.02477491
11,1991,40-44,e2,0,5711.61622201
11,1991,40-44,e2,1,6839.98060864
11,1991,40-44,e3,0,5767.40989212
11,1991,40-44,e3,1,7723.51671601
11,1991,40-44,e4,0,1075.38263767
11,1991,40-44,e4,1,1715.58794071
11,1991,40-44,e5,0,2084.56123892
11,1991,40-44,e5,1,2163.58379515
11,1991,40-44,e6,0,775.26139879
11,1991,40-44,e6,1,1191.533792
11,1991,45-49,e1,0,7535.3847215
11,1991,45-49,e1,1,7320.2001121
11,1991,45-49,e2,0,4624.94285117
11,1991,45-49,e2,1,5435.42972938
11,1991,45-49,e3,0,3686.82017942
11,1991,45-49,e3,1,5179.79152
11,1991,45-49,e4,0,651.64576995
11,1991,45-49,e4,1,1114.97039777
11,1991,45-49,e5,0,849.85741275
11,1991,45-49,e5,1,835.86480685
11,1991,45-49,e6,0,240.53408532
11,1991,45-49,e6,1,630.04860165
11,1991,50-54,e1,0,6853.03179537
11,1991,50-54,e1,1,6659.63019025
11,1991,50-54,e2,0,3324.32302418
11,1991,50-54,e2,1,4590.15053694
11,1991,50-54,e3,0,2413.82227849
11,1991,50-54,e3,1,3776.76194199
11,1991,50-54,e4,0,389.93943962
11,1991,50-54,e4,1,551.1325019
11,1991,50-54,e5,0,366.59288981
11,1991,50-54,e5,1,473.78083306
11,1991,50-54,e6,0,96.80548572
11,1991,50-54,e6,1,245.06959213
11,1991,55-59,e1,0,6222.87695698
11,1991,55-59,e1,1,6612.18650729
11,1991,55-59,e2,0,2212.35110862
11,1991,55-59,e2,1,3631.87829656
11,1991,55-59,e3,0,1447.04949503
11,1991,55-59,e3,1,2725.2877548
11,1991,55-59,e4,0,223.25358196
11,1991,55-59,e4,1,280.9916389
11,1991,55-59,e5,0,162.20616442
11,1991,55-59,e5,1,230.59935239
11,1991,55-59,e6,0,37.05699409
11,1991,55-59,e6,1,67.03349561
11,1991,60-64,e1,0,4698.37893755
11,1991,60-64,e1,1,5008.44267515
11,1991,60-64,e2,0,1512.98022803
11,1991,60-64,e2,1,2793.96936676
11,1991,60-64,e3,0,971.83429618
11,1991,60-64,e3,1,1920.24527678
11,1991,60-64,e4,0,94.72893836
11,1991,60-64,e4,1,119.35916936
11,1991,60-64,e5,0,71.64486433
11,1991,60-64,e5,1,200.37164532
11,1991,60-64,e6,0,86.26199407
11,1991,60-64,e6,1,102.17282784
11,1991,65-69,e1,0,3296.06605862
11,1991,65-69,e1,1,4075.0377105
11,1991,65-69,e2,0,1006.1085605
11,1991,65-69,e2,1,1933.17107845
11,1991,65-69,e3,0,367.93250257
11,1991,65-69,e3,1,1112.45323271
11,1991,65-69,e4,0,18.07279986
11,1991,65-69,e4,1,196.3115074
11,1991,65-69,e5,0,38.16714874
11,1991,65-69,e5,1,68.84234952
11,1991,65-69,e6,1,73.28224861
11,1991,70-74,e1,0,1983.83429071
11,1991,70-74,e1,1,2332.25879826
11,1991,70-74,e2,0,334.18889004
11,1991,70-74,e2,1,804.19362804
11,1991,70-74,e3,0,286.72736068
11,1991,70-74,e3,1,584.03829288
11,1991,70-74,e4,0,31.72835151
11,1991,70-74,e4,1,27.89998242
11,1991,70-74,e5,0,23.9842515
11,1991,70-74,e5,1,63.496515519999996
11,1991,75-79,e1,0,1405.63275474
11,1991,75-79,e1,1,1428.74267949
11,1991,75-79,e2,0,260.03297676
11,1991,75-79,e2,1,438.74305004
11,1991,75-79,e3,0,162.74678126
11,1991,75-79,e3,1,194.24933615
11,1991,75-79,e4,0,14.60331423
11,1991,75-79,e4,1,25.227391349999998
11,1991,75-79,e5,1,13.82110032
11,1991,75-79,e6,1,5.90498697
11,1991,80-84,e1,0,542.09436097
11,1991,80-84,e1,1,627.21091449
11,1991,80-84,e2,0,124.49489679
11,1991,80-84,e2,1,121.83691478
11,1991,80-84,e3,0,61.63923478
11,1991,80-84,e3,1,82.73809689000001
11,1991,80-84,e4,0,1.3595504
11,1991,80-84,e4,1,10.40168695
11,1991,80-84,e6,1,5.90498697
11,1991,85-89,e1,0,325.76546765
11,1991,85-89,e1,1,212.6394102
11,1991,85-89,e2,0,90.37324108
11,1991,85-89,e2,1,23.193163000000002
11,1991,85-89,e3,0,31.52068512
11,1991,85-89,e3,1,35.02540955
11,1991,90-94,e1,0,53.260631180000004
11,1991,90-94,e1,1,41.00095412
11,1991,90-94,e2,0,24.56085809
11,1991,90-94,e2,1,22.81339047
11,1991,90-94,e3,0,3.85340811
11,1991,90-94,e3,1,7.56407646
11,1991,95-99,e1,0,26.985574380000003
11,1991,95-99,e2,1,4.05017341
11,1991,100+,e1,0,19.366361830000002
11,1991,100+,e1,1,13.31564605
11,1991,100+,e2,0,15.44433614
11,1991,100+,e2,1,41.559299249999995
11,1991,100+,e3,0,6.09689736
11,1991,100+,e4,1,14.44827744
11,1991,100+,e5,1,9.03688076
12,1991,0-4,NA,0,30589.53460991
12,1991,0-4,NA,1,31130.50684881
12,1991,05-09,e1,0,17988.36479157
12,1991,05-09,e1,1,19910.84539222
12,1991,05-09,e2,0,12486.53424673
12,1991,05-09,e2,1,12449.50936353
12,1991,05-09,e3,0,34.61485432
12,1991,05-09,e3,1,49.55607615
12,1991,10-14,e1,0,7048.14014945
12,1991,10-14,e1,1,8418.25787008
12,1991,10-14,e2,0,15095.17036479
12,1991,10-14,e2,1,16133.22185699
12,1991,10-14,e3,0,7234.48589066
12,1991,10-14,e3,1,5456.97256039
12,1991,10-14,e4,0,172.60229289
12,1991,10-14,e4,1,96.66700618
12,1991,15-19,e1,0,5196.2866349
12,1991,15-19,e1,1,6394.1323561
12,1991,15-19,e2,0,4899.74395532
12,1991,15-19,e2,1,5641.13439794
12,1991,15-19,e3,0,9694.40484272
12,1991,15-19,e3,1,8812.73416123
12,1991,15-19,e4,0,3450.46344727
12,1991,15-19,e4,1,2295.87165429
12,1991,15-19,e5,0,405.70873934
12,1991,15-19,e5,1,296.46850196
12,1991,20-24,e1,0,4949.18335179
12,1991,20-24,e1,1,5982.0518093
12,1991,20-24,e2,0,2845.28089392
12,1991,20-24,e2,1,3412.80182543
12,1991,20-24,e3,0,5335.28376264
12,1991,20-24,e3,1,4946.15353634
12,1991,20-24,e4,0,3159.59450246
12,1991,20-24,e4,1,2981.19547488
12,1991,20-24,e5,0,2344.68376649
12,1991,20-24,e5,1,1941.81132286
12,1991,20-24,e6,0,153.60903797
12,1991,20-24,e6,1,64.16162982
12,1991,25-29,e1,0,4336.70649648
